python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 3.8.16,nbody.py 50000,0.508220,1092,1685626789.741794,-,-,676,17.53,3857,1896,1.98,1303,0,6,2552,1272,156,149,0,388,4,307,0.00,2.54,2.44,0.58,1.79,0.00,20.24,0.21,54.47,18.48,0.39,2.40,61.21,89,89,96.61,300,300,124.84,98.62,3.06,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.89,8.60,0.01,0.40,0.00,0.00
Python 3.9.16,nbody.py 50000,0.522036,1047,1685626790.372971,-,-,742,19.03,3898,1896,1.89,1709,0,49,2556,2203,983,935,0,502,1,267,0.01,3.06,5.21,3.81,8.33,0.00,23.10,0.10,37.13,24.90,2.79,5.39,47.89,89,92,97.31,300,300,134.63,98.29,2.34,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.84,9.52,0.01,0.39,0.00,0.00
Python 3.10.11,nbody.py 50000,0.511561,1077,1685626790.971069,-,-,577,14.41,4003,1896,2.23,1135,0,16,876,562,195,314,0,533,2,277,0.00,1.28,1.69,1.10,4.09,0.00,29.75,0.48,46.93,18.17,1.25,4.26,61.90,87,90,97.54,300,300,110.30,98.49,2.21,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.67,8.32,0.01,0.34,0.00,0.00
Python 3.11.3,nbody.py 50000,0.282580,1050,1685626791.358779,-,-,543,13.94,3899,1897,2.40,597,0,0,97,67,122,265,0,269,1,156,0.00,0.64,0.63,1.41,6.38,0.00,28.11,0.01,48.80,16.90,2.93,5.95,60.29,86,91,94.13,300,300,110.25,99.00,5.06,4.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.28,0.01,0.20,0.00,0.00
Python 2.5.6,nbody.py 50000,0.556379,1109,1685627029.965945,-,-,751,19.76,3800,1897,1.80,2557,0,273,1851,1167,608,739,0,632,0,286,0.04,1.40,2.93,2.51,6.41,0.00,29.05,0.00,37.81,20.85,2.65,5.59,51.16,80,80,97.06,300,300,134.84,98.72,2.82,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.74,9.32,0.01,0.43,0.00,0.00
Python 2.7.18,nbody.py 50000,0.418239,1223,1685627030.469640,-,-,577,14.38,4010,1896,2.47,879,0,6,1108,502,143,324,0,397,0,230,0.00,2.56,2.33,1.07,3.69,0.00,25.24,0.00,50.57,19.59,1.01,3.27,61.75,85,85,95.88,300,300,110.88,98.85,3.62,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.86,6.79,0.01,0.29,0.00,0.00
Python 3.0.1,nbody.py 50000,0.534855,1058,1685627031.123126,-,-,551,13.69,4021,1897,2.28,964,0,6,78,99,129,298,0,549,4,313,0.00,0.48,0.43,0.75,3.84,0.00,28.81,0.28,51.44,17.05,1.12,4.99,63.15,82,86,96.85,300,300,109.04,98.26,2.79,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.70,8.37,0.01,0.36,0.00,0.00
Python 3.4.10,nbody.py 50000,0.480050,1128,1685627031.718946,-,-,544,15.68,3455,1902,2.31,1011,0,0,298,375,241,412,0,485,6,236,0.00,0.66,1.38,1.53,5.10,0.00,28.53,0.09,47.03,17.97,1.93,4.91,59.51,87,87,96.66,300,300,116.85,98.41,3.42,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.52,7.26,0.01,0.33,0.00,0.00
Python 3.5.10,nbody.py 50000,0.475755,1063,1685627032.309122,-,-,542,13.56,3996,1897,2.31,842,0,1,93,116,120,282,0,462,1,261,0.00,0.37,0.49,0.97,4.45,0.00,27.25,0.01,52.68,16.11,1.68,4.93,63.71,86,90,96.27,300,300,107.15,98.51,3.18,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.18,7.99,0.01,0.32,0.00,0.00
Python 3.6.15,nbody.py 50000,0.453712,1057,1685627032.854347,-,-,534,13.30,4012,1896,2.41,760,0,1,22,87,81,273,0,419,1,255,0.00,0.28,0.75,0.58,4.47,0.00,24.24,0.25,55.95,16.59,0.90,5.38,63.82,86,89,95.88,300,300,105.56,98.73,3.46,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.26,7.12,0.01,0.30,0.00,0.00
