test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
10,2021-05-14,binaryTrees_v2_21_original,g++-8,binaryTrees_2.c 21,1.0,0.39,0.64,0.21,0.03,0.13,6.81,2.54,0.0,1.94,1.81,20.286035213,69557715040,3.43,178040922525,2.56,20281.75,1.0,69561092747,3.43,6,38401465090,486122236,20281.79,1.0,19.0,39140652901,56566025,0.14%,0,30093109231,65664,65664,0,851503706,306396760,35.983,52236905551,610880358,1.17%,105666306,42478150,40.20%,4026303,52411192899,4511753,0.01%,44943,442133,983.76%,0,0,13.72,2.8812,8.780800000000001,0.4116,1.7836
1,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,1.0,0.4,0.62,0.23,0.02,0.13,6.56,2.51,0.0,2.2,2.16,17.788243683,72457543272,4.074,181818860759,2.51,17784.64,1.0,72439409622,4.073,9,33584325582,425192511,17784.65,1.0,13.0,38859970312,54317495,0.14%,0,30247871754,65668,65668,0,781766072,303952231,38.88,52475480968,611114230,1.16%,97451774,37877113,38.87%,3847468,52522624810,3191898,0.01%,67888,313909,462.39%,0,0,16.296,3.74808,10.10352,0.32592,2.11848
2,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,0.99,0.4,0.62,0.23,0.02,0.13,6.55,2.48,0.01,2.12,2.11,18.377941604,72591016346,3.951,182078561126,2.51,18373.59,1.0,72585380000,3.951,12,34377559008,435034991,18373.64,1.0,9.0,39310017725,54487605,0.14%,0,30297997709,65665,65665,0,815270098,297170005,36.45,52521204565,610717972,1.16%,100445821,36156759,36.00%,4199855,52479526731,3267060,0.01%,263278,339561,128.97%,0,0,15.804,3.63492,9.79848,0.31608,2.05452
3,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,0.99,0.4,0.62,0.23,0.02,0.14,6.55,2.51,0.01,2.17,2.15,17.951557399,72632298996,4.046,182332124637,2.51,17949.72,1.0,72650591449,4.047,9,33804102380,427985697,17949.74,1.0,11.0,39115154793,54213002,0.14%,0,30309474104,65668,65668,0,792832343,297097070,37.473,52179864421,611990513,1.17%,100266260,40538312,40.43%,4278834,52049961598,3308122,0.01%,134601,326564,242.62%,0,0,16.184,3.7223200000000003,10.034080000000001,0.32368,2.26576
4,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,0.99,0.4,0.61,0.23,0.02,0.13,6.57,2.52,0.0,2.14,2.13,18.2293587,72671298018,3.987,181415625194,2.5,18227.2,1.0,72685175495,3.988,11,34090654050,431515397,18227.26,1.0,11.0,39185971726,55085653,0.14%,0,30462545651,65664,65664,0,819290850,304918030,37.217,52405076939,610215729,1.16%,99618680,41001100,41.16%,3516495,52390778699,3293292,0.01%,258444,305440,118.18%,0,0,15.948,3.6680400000000004,9.72828,0.31896,2.07324
5,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,0.99,0.4,0.62,0.23,0.02,0.13,6.56,2.49,0.01,2.17,2.12,18.394220091,72699651542,3.953,181181057671,2.49,18392.16,1.0,72675040174,3.951,5,34375508530,435001447,18392.21,1.0,10.0,39137260926,55035457,0.14%,0,30433455724,65663,65663,0,809378113,295896668,36.559,52366135741,606746120,1.16%,99356543,38283386,38.53%,3646486,52559517186,3296244,0.01%,279828,301953,107.91%,0,0,15.812,3.63676,9.80344,0.31624,2.05556
6,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,0.99,0.4,0.62,0.22,0.03,0.13,6.56,2.49,0.0,2.12,2.11,18.450709669,72743787321,3.943,182596487889,2.51,18448.23,1.0,72724094937,3.942,0,34518008052,436949616,18448.24,1.0,9.0,39355996603,55352481,0.14%,0,30252652828,65664,65664,0,794859593,304843712,38.352,52090550634,613831348,1.18%,99572877,39442828,39.61%,3766621,52301439270,3315698,0.01%,271804,316786,116.55%,0,0,15.772,3.46984,9.77864,0.47315999999999997,2.05036
7,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,0.99,0.4,0.63,0.23,0.02,0.12,6.57,2.52,0.01,2.12,2.05,18.719972841,72165212670,3.855,181838724640,2.52,18718.21,1.0,72158875933,3.855,8,35203789144,445704310,18718.23,1.0,17.0,38964315207,55193354,0.14%,0,30371084717,65664,65664,0,792781240,298358815,37.634,52533456194,610027012,1.16%,96355117,39011192,40.49%,4036582,52053709053,3251693,0.01%,147407,357376,242.44%,0,0,15.42,3.5466,9.7146,0.3084,1.8503999999999998
8,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,1.0,0.39,0.63,0.23,0.03,0.12,6.57,2.56,0.01,1.87,1.79,21.199960713,71832263101,3.389,181698254062,2.53,21197.95,1.0,71846751184,3.389,0,40134558755,508063388,21197.97,1.0,21.0,38893764055,55556559,0.14%,0,30025828472,65662,65662,0,811311081,302834775,37.327,51929339825,607795856,1.17%,101325235,40944954,40.41%,4194737,52183149328,3886286,0.01%,33218,435087,1309.79%,0,0,13.556,3.11788,8.54028,0.40668,1.62672
9,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,1.0,0.39,0.63,0.23,0.03,0.12,6.54,2.56,0.0,1.87,1.79,21.075850294,71575703453,3.396,181484779875,2.54,21073.82,1.0,71554548713,3.395,0,39899224134,505087834,21073.84,1.0,22.0,38950854553,53950359,0.14%,0,30133693909,65665,65665,0,824279260,294772542,35.761,52058618544,613948327,1.18%,101700012,40600750,39.92%,4853902,52407966135,3303838,0.01%,21741,474625,2183.09%,0,0,13.584,3.12432,8.55792,0.40752,1.63008
